Year_Month,Contract_region,Card_type,Trip
2016-08,Night Ride 11,Child/Youth,74
2016-08,Night Ride 11,Child/Youth Single Bus Trip 2,3
2016-08,Night Ride 11,Child/Youth Single Bus Trip 3,3
2016-08,Night Ride 11,Concession,310
2016-08,Night Ride 11,Senior/Pensioner,299
2016-08,Night Ride 20,Adult,510
2016-08,Night Ride 20,Adult Single Bus Trip 1,3
2016-08,Night Ride 20,Adult Single Bus Trip 2,7
2016-08,Night Ride 20,Child/Youth,7
2016-08,Night Ride 20,Concession,39
2016-08,Night Ride 20,Senior/Pensioner,49
2016-08,Night Ride 30,Adult,4736
2016-08,Night Ride 30,Adult Single Bus Trip 1,35
2016-08,Night Ride 30,Adult Single Bus Trip 2,43
2016-08,Night Ride 30,Adult Single Bus Trip 3,252
2016-08,Night Ride 30,Child/Youth,106
2016-08,Night Ride 30,Child/Youth Single Bus Trip 1,5
2016-08,Night Ride 30,Child/Youth Single Bus Trip 2,8
2016-08,Night Ride 30,Child/Youth Single Bus Trip 3,20
2016-08,Night Ride 30,Concession,641
2016-08,Night Ride 30,Free Travel,15
2016-08,Night Ride 30,Senior/Pensioner,650
2016-08,Night Ride 40,Adult,6193
2016-08,Night Ride 40,Adult Single Bus Trip 1,25
2016-08,Night Ride 40,Adult Single Bus Trip 2,47
2016-08,Night Ride 40,Adult Single Bus Trip 3,73
2016-08,Night Ride 40,Child/Youth,82
2016-08,Night Ride 40,Child/Youth Single Bus Trip 1,2
2016-08,Night Ride 40,Child/Youth Single Bus Trip 2,10
2016-08,Night Ride 40,Child/Youth Single Bus Trip 3,15
2016-08,Night Ride 40,Concession,516
2016-08,Night Ride 40,Free Travel,3
2016-08,Night Ride 40,Senior/Pensioner,624
2016-08,Night Ride 50,Adult,6783
2016-08,Night Ride 50,Adult Single Bus Trip 1,47
2016-08,Night Ride 50,Adult Single Bus Trip 2,95
2016-08,Night Ride 50,Adult Single Bus Trip 3,113
2016-08,Night Ride 50,Child/Youth,93
2016-08,Night Ride 50,Child/Youth Single Bus Trip 1,11
2016-08,Night Ride 50,Child/Youth Single Bus Trip 2,7
2016-08,Night Ride 50,Child/Youth Single Bus Trip 3,3
2016-08,Night Ride 50,Concession,497
2016-08,Night Ride 50,School Student,1
2016-08,Night Ride 50,Senior/Pensioner,698
2016-08,Night Ride 60,Adult,11731
2016-08,Night Ride 60,Adult Single Bus Trip 1,55
2016-08,Night Ride 60,Adult Single Bus Trip 2,99
2016-08,Night Ride 60,Adult Single Bus Trip 3,134
2016-08,Night Ride 60,Child/Youth,115
2016-08,Night Ride 60,Child/Youth Single Bus Trip 1,4
2016-08,Night Ride 60,Child/Youth Single Bus Trip 2,10
