Year_Month,Location,Card_type,Trip
2020-02,Capitol Square Light Rail,Concession,1140
2020-02,Capitol Square Light Rail,Employee,69
2020-02,Capitol Square Light Rail,Free Travel,53
2020-02,Capitol Square Light Rail,School Student,198
2020-02,Capitol Square Light Rail,Senior/Pensioner,9953
2020-02,Capitol Square Light Rail,Sgl Trip LR Adult,92
2020-02,Capitol Square Light Rail,Sgl Trip LR Child/Youth,15
2020-02,Central Chalmers Street Light Rail,Adult,72384
2020-02,Central Chalmers Street Light Rail,CTP,15443
2020-02,Central Chalmers Street Light Rail,Child/Youth,6249
2020-02,Central Chalmers Street Light Rail,Concession,13561
2020-02,Central Chalmers Street Light Rail,Day Pass without SAF,2
2020-02,Central Chalmers Street Light Rail,Employee,267
2020-02,Central Chalmers Street Light Rail,Free Travel,155
2020-02,Central Chalmers Street Light Rail,School Student,18116
2020-02,Central Chalmers Street Light Rail,Senior/Pensioner,13522
2020-02,Central Chalmers Street Light Rail,Sgl Trip LR Adult,256
2020-02,Central Chalmers Street Light Rail,Sgl Trip LR Child/Youth,43
2020-02,Central Grand Concourse Light Rail,Adult,120674
2020-02,Central Grand Concourse Light Rail,CTP,19432
2020-02,Central Grand Concourse Light Rail,Child/Youth,5489
2020-02,Central Grand Concourse Light Rail,Concession,6880
2020-02,Central Grand Concourse Light Rail,Day Pass without SAF,6
2020-02,Central Grand Concourse Light Rail,Employee,384
2020-02,Central Grand Concourse Light Rail,Free Travel,262
2020-02,Central Grand Concourse Light Rail,School Student,1024
2020-02,Central Grand Concourse Light Rail,Senior/Pensioner,43670
2020-02,Central Grand Concourse Light Rail,Sgl Trip LR Adult,393
2020-02,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,74
2020-02,Chinatown Light Rail,Adult,86702
2020-02,Chinatown Light Rail,CTP,23055
2020-02,Chinatown Light Rail,Child/Youth,4199
2020-02,Chinatown Light Rail,Concession,3924
2020-02,Chinatown Light Rail,Day Pass without SAF,4
2020-02,Chinatown Light Rail,Employee,252
2020-02,Chinatown Light Rail,Free Travel,150
2020-02,Chinatown Light Rail,School Student,470
2020-02,Chinatown Light Rail,Senior/Pensioner,15212
2020-02,Chinatown Light Rail,Sgl Trip LR Adult,841
2020-02,Chinatown Light Rail,Sgl Trip LR Child/Youth,62
2020-02,Circular Quay Light Rail,Adult,115933
2020-02,Circular Quay Light Rail,CTP,32133
2020-02,Circular Quay Light Rail,Child/Youth,8303
2020-02,Circular Quay Light Rail,Concession,4030
2020-02,Circular Quay Light Rail,Day Pass without SAF,3
2020-02,Circular Quay Light Rail,Employee,229
2020-02,Circular Quay Light Rail,Free Travel,228
2020-02,Circular Quay Light Rail,School Student,242
2020-02,Circular Quay Light Rail,Senior/Pensioner,30112
2020-02,Circular Quay Light Rail,Sgl Trip LR Adult,2777
2020-02,Circular Quay Light Rail,Sgl Trip LR Child/Youth,263
2020-02,Civic Light Rail,Adult,8686
2020-02,Civic Light Rail,CTP,2727
2020-02,Civic Light Rail,Child/Youth,533
2020-02,Civic Light Rail,Concession,1302
2020-02,Civic Light Rail,Day Pass without SAF,2
2020-02,Civic Light Rail,Employee,41
2020-02,Civic Light Rail,Free Travel,74
2020-02,Civic Light Rail,School Student,111
2020-02,Civic Light Rail,Senior/Pensioner,2855
2020-02,Civic Light Rail,Sgl Trip LR Adult,24
2020-02,Civic Light Rail,Sgl Trip LR Child/Youth,9
2020-02,Convention Light Rail,Adult,26510
2020-02,Convention Light Rail,CTP,5784
2020-02,Convention Light Rail,Child/Youth,1777
2020-02,Convention Light Rail,Concession,1377
2020-02,Convention Light Rail,Employee,62
2020-02,Convention Light Rail,Free Travel,40
2020-02,Convention Light Rail,School Student,180
2020-02,Convention Light Rail,Senior/Pensioner,5018
2020-02,Convention Light Rail,Sgl Trip LR Adult,180
2020-02,Convention Light Rail,Sgl Trip LR Child/Youth,35
2020-02,Crown Street Light Rail,Adult,3002
2020-02,Crown Street Light Rail,CTP,1327
2020-02,Crown Street Light Rail,Child/Youth,152
2020-02,Crown Street Light Rail,Concession,304
2020-02,Crown Street Light Rail,Employee,35
2020-02,Crown Street Light Rail,Free Travel,19
2020-02,Crown Street Light Rail,School Student,33
2020-02,Crown Street Light Rail,Senior/Pensioner,1345
2020-02,Crown Street Light Rail,Sgl Trip LR Adult,20
2020-02,Crown Street Light Rail,Sgl Trip LR Child/Youth,33
2020-02,Dulwich Grove Light Rail,Adult,6250
2020-02,Dulwich Grove Light Rail,CTP,1572
2020-02,Dulwich Grove Light Rail,Child/Youth,459
2020-02,Dulwich Grove Light Rail,Concession,439
2020-02,Dulwich Grove Light Rail,Employee,18
2020-02,Dulwich Grove Light Rail,Free Travel,20
2020-02,Dulwich Grove Light Rail,School Student,634
2020-02,Dulwich Grove Light Rail,Senior/Pensioner,954
2020-02,Dulwich Hill Light Rail,Adult,17453
2020-02,Dulwich Hill Light Rail,CTP,3183
2020-02,Dulwich Hill Light Rail,Child/Youth,1385
2020-02,Dulwich Hill Light Rail,Concession,1067
2020-02,Dulwich Hill Light Rail,Employee,41
2020-02,Dulwich Hill Light Rail,Free Travel,9
2020-02,Dulwich Hill Light Rail,School Student,867
2020-02,Dulwich Hill Light Rail,Senior/Pensioner,3326
2020-02,Dulwich Hill Light Rail,Sgl Trip LR Adult,2
2020-02,Exhibition Centre Light Rail,Adult,13094
2020-02,Exhibition Centre Light Rail,CTP,3289
2020-02,Exhibition Centre Light Rail,Child/Youth,1228
2020-02,Exhibition Centre Light Rail,Concession,819
2020-02,Exhibition Centre Light Rail,Employee,45
2020-02,Exhibition Centre Light Rail,Free Travel,38
2020-02,Exhibition Centre Light Rail,School Student,225
2020-02,Exhibition Centre Light Rail,Senior/Pensioner,7052
2020-02,Exhibition Centre Light Rail,Sgl Trip LR Adult,10
2020-02,Exhibition Centre Light Rail,Sgl Trip LR Child/Youth,3
2020-02,Fish Market Light Rail,Adult,25445
2020-02,Fish Market Light Rail,CTP,5354
2020-02,Fish Market Light Rail,Child/Youth,1435
2020-02,Fish Market Light Rail,Concession,715
2020-02,Fish Market Light Rail,Employee,21
2020-02,Fish Market Light Rail,Free Travel,40
2020-02,Fish Market Light Rail,School Student,389
2020-02,Fish Market Light Rail,Senior/Pensioner,4204
2020-02,Fish Market Light Rail,Sgl Trip LR Adult,111
2020-02,Fish Market Light Rail,Sgl Trip LR Child/Youth,17
2020-02,Glebe Light Rail,Adult,8863
2020-02,Glebe Light Rail,CTP,2807
2020-02,Glebe Light Rail,Child/Youth,1269
2020-02,Glebe Light Rail,Concession,621
2020-02,Glebe Light Rail,Employee,13
2020-02,Glebe Light Rail,Free Travel,12
2020-02,Glebe Light Rail,School Student,1090
2020-02,Glebe Light Rail,Senior/Pensioner,1738
2020-02,Glebe Light Rail,Sgl Trip LR Adult,26
2020-02,Glebe Light Rail,Sgl Trip LR Child/Youth,4
2020-02,Hawthorne Light Rail,Adult,6932
2020-02,Hawthorne Light Rail,CTP,1891
2020-02,Hawthorne Light Rail,Child/Youth,715
2020-02,Hawthorne Light Rail,Concession,380
2020-02,Hawthorne Light Rail,Employee,6
2020-02,Hawthorne Light Rail,Free Travel,12
2020-02,Hawthorne Light Rail,School Student,679
2020-02,Hawthorne Light Rail,Senior/Pensioner,1104
2020-02,Hawthorne Light Rail,Sgl Trip LR Adult,1
2020-02,Hawthorne Light Rail,Sgl Trip LR Child/Youth,2
2020-02,Haymarket Light Rail,Adult,37562
2020-02,Haymarket Light Rail,CTP,9669
2020-02,Haymarket Light Rail,Child/Youth,2194
2020-02,Haymarket Light Rail,Concession,2744
2020-02,Haymarket Light Rail,Day Pass without SAF,2
2020-02,Haymarket Light Rail,Employee,245
2020-02,Haymarket Light Rail,Free Travel,101
2020-02,Haymarket Light Rail,School Student,333
2020-02,Haymarket Light Rail,Senior/Pensioner,8568
2020-02,Haymarket Light Rail,Sgl Trip LR Adult,308
2020-02,Haymarket Light Rail,Sgl Trip LR Child/Youth,39
2020-02,Honeysuckle Light Rail,Adult,6492
2020-02,Honeysuckle Light Rail,CTP,2141
2020-02,Honeysuckle Light Rail,Child/Youth,564
2020-02,Honeysuckle Light Rail,Concession,560
2020-02,Honeysuckle Light Rail,Employee,20
2020-02,Honeysuckle Light Rail,Free Travel,34
2020-02,Honeysuckle Light Rail,School Student,374
2020-02,Honeysuckle Light Rail,Senior/Pensioner,2476
2020-02,Honeysuckle Light Rail,Sgl Trip LR Adult,27
2020-02,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,11
2020-02,John Street Square Light Rail,Adult,15618
2020-02,John Street Square Light Rail,CTP,3695
2020-02,John Street Square Light Rail,Child/Youth,597
2020-02,John Street Square Light Rail,Concession,742
2020-02,John Street Square Light Rail,Employee,45
2020-02,John Street Square Light Rail,Free Travel,8
2020-02,John Street Square Light Rail,School Student,256
2020-02,John Street Square Light Rail,Senior/Pensioner,2621
2020-02,John Street Square Light Rail,Sgl Trip LR Adult,3
2020-02,Jubilee Park Light Rail,Adult,14819
2020-02,Jubilee Park Light Rail,CTP,4318
2020-02,Jubilee Park Light Rail,Child/Youth,2717
2020-02,Jubilee Park Light Rail,Concession,715
2020-02,Jubilee Park Light Rail,Employee,6
2020-02,Jubilee Park Light Rail,Free Travel,9
2020-02,Jubilee Park Light Rail,School Student,2328
2020-02,Jubilee Park Light Rail,Senior/Pensioner,2571
2020-02,Jubilee Park Light Rail,Sgl Trip LR Adult,42
2020-02,Jubilee Park Light Rail,Sgl Trip LR Child/Youth,11
2020-02,Leichhardt North Light Rail,Adult,5913
2020-02,Leichhardt North Light Rail,CTP,1894
2020-02,Leichhardt North Light Rail,Child/Youth,730
2020-02,Leichhardt North Light Rail,Concession,503
2020-02,Leichhardt North Light Rail,Employee,5
2020-02,Leichhardt North Light Rail,Free Travel,5
2020-02,Leichhardt North Light Rail,School Student,914
2020-02,Leichhardt North Light Rail,Senior/Pensioner,1102
2020-02,Leichhardt North Light Rail,Sgl Trip LR Adult,2
2020-02,Lewisham West Light Rail,Adult,9166
2020-02,Lewisham West Light Rail,CTP,2586
2020-02,Lewisham West Light Rail,Child/Youth,1255
2020-02,Lewisham West Light Rail,Concession,601
2020-02,Lewisham West Light Rail,Employee,38
2020-02,Lewisham West Light Rail,Free Travel,5
2020-02,Lewisham West Light Rail,School Student,1342
2020-02,Lewisham West Light Rail,Senior/Pensioner,1078
2020-02,Lilyfield Light Rail,Adult,8018
2020-02,Lilyfield Light Rail,CTP,2351
2020-02,Lilyfield Light Rail,Child/Youth,1057
2020-02,Lilyfield Light Rail,Concession,398
2020-02,Lilyfield Light Rail,Day Pass without SAF,9
2020-02,Lilyfield Light Rail,Employee,9
2020-02,Lilyfield Light Rail,Free Travel,12
2020-02,Lilyfield Light Rail,School Student,687
2020-02,Lilyfield Light Rail,Senior/Pensioner,2212
2020-02,Lilyfield Light Rail,Sgl Trip LR Adult,9
2020-02,Lilyfield Light Rail,Sgl Trip LR Child/Youth,4
2020-02,Marion Light Rail,Adult,5049
2020-02,Marion Light Rail,CTP,1347
2020-02,Marion Light Rail,Child/Youth,665
2020-02,Marion Light Rail,Concession,408
2020-02,Marion Light Rail,Employee,6
2020-02,Marion Light Rail,Free Travel,5
2020-02,Marion Light Rail,School Student,678
2020-02,Marion Light Rail,Senior/Pensioner,1752
2020-02,Moore Park Light Rail,Adult,16855
2020-02,Moore Park Light Rail,CTP,4670
2020-02,Moore Park Light Rail,Child/Youth,1849
2020-02,Moore Park Light Rail,Concession,2921
2020-02,Moore Park Light Rail,Employee,26
2020-02,Moore Park Light Rail,Free Travel,25
2020-02,Moore Park Light Rail,School Student,11848
2020-02,Moore Park Light Rail,Senior/Pensioner,1596
2020-02,Moore Park Light Rail,Sgl Trip LR Adult,67
2020-02,Moore Park Light Rail,Sgl Trip LR Child/Youth,22
2020-02,Newcastle Beach Light Rail,Adult,5601
2020-02,Newcastle Beach Light Rail,CTP,2368
2020-02,Newcastle Beach Light Rail,Child/Youth,684
2020-02,Newcastle Beach Light Rail,Concession,556
2020-02,Newcastle Beach Light Rail,Day Pass without SAF,2
2020-02,Newcastle Beach Light Rail,Employee,24
2020-02,Newcastle Beach Light Rail,Free Travel,29
2020-02,Newcastle Beach Light Rail,School Student,203
2020-02,Newcastle Beach Light Rail,Senior/Pensioner,3014
2020-02,Newcastle Beach Light Rail,Sgl Trip LR Adult,29
2020-02,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,23
2020-02,Newcastle Interchange Light Rail,Adult,18718
2020-02,Newcastle Interchange Light Rail,CTP,5412
2020-02,Newcastle Interchange Light Rail,Child/Youth,1325
2020-02,Newcastle Interchange Light Rail,Concession,1934
2020-02,Newcastle Interchange Light Rail,Day Pass without SAF,2
2020-02,Newcastle Interchange Light Rail,Employee,134
2020-02,Newcastle Interchange Light Rail,Free Travel,130
2020-02,Newcastle Interchange Light Rail,School Student,494
2020-02,Newcastle Interchange Light Rail,Senior/Pensioner,7060
2020-02,Newcastle Interchange Light Rail,Sgl Trip LR Adult,134
2020-02,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,86
2020-02,"Paddy's Markets Light Rail",Adult,32292
2020-02,"Paddy's Markets Light Rail",CTP,6658
2020-02,"Paddy's Markets Light Rail",Child/Youth,2488
2020-02,"Paddy's Markets Light Rail",Concession,1763
2020-02,"Paddy's Markets Light Rail",Day Pass without SAF,8
2020-02,"Paddy's Markets Light Rail",Employee,71
2020-02,"Paddy's Markets Light Rail",Free Travel,52
2020-02,"Paddy's Markets Light Rail",School Student,235
2020-02,"Paddy's Markets Light Rail",Senior/Pensioner,10544
2020-02,"Paddy's Markets Light Rail",Sgl Trip LR Adult,95
2020-02,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,19
2020-02,Pyrmont Bay Light Rail,Adult,31303
2020-02,Pyrmont Bay Light Rail,CTP,7654
2020-02,Pyrmont Bay Light Rail,Child/Youth,1520
2020-02,Pyrmont Bay Light Rail,Concession,1222
2020-02,Pyrmont Bay Light Rail,Employee,61
2020-02,Pyrmont Bay Light Rail,Free Travel,70
2020-02,Pyrmont Bay Light Rail,School Student,198
2020-02,Pyrmont Bay Light Rail,Senior/Pensioner,4246
2020-02,Pyrmont Bay Light Rail,Sgl Trip LR Adult,114
2020-02,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,26
2020-02,QVB Light Rail,Adult,70690
2020-02,QVB Light Rail,CTP,20322
2020-02,QVB Light Rail,Child/Youth,3666
2020-02,QVB Light Rail,Concession,3989
2020-02,QVB Light Rail,Day Pass without SAF,2
2020-02,QVB Light Rail,Employee,143
2020-02,QVB Light Rail,Free Travel,122
2020-02,QVB Light Rail,School Student,423
2020-02,QVB Light Rail,Senior/Pensioner,15094
2020-02,QVB Light Rail,Sgl Trip LR Adult,633
2020-02,QVB Light Rail,Sgl Trip LR Child/Youth,62
2020-02,Queens Wharf Light Rail,Adult,6122
2020-02,Queens Wharf Light Rail,CTP,2128
2020-02,Queens Wharf Light Rail,Child/Youth,555
2020-02,Queens Wharf Light Rail,Concession,449
2020-02,Queens Wharf Light Rail,Employee,20
2020-02,Queens Wharf Light Rail,Free Travel,65
2020-02,Queens Wharf Light Rail,School Student,498
2020-02,Queens Wharf Light Rail,Senior/Pensioner,3765
2020-02,Queens Wharf Light Rail,Sgl Trip LR Adult,29
2020-02,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,23
2020-02,Randwick Light Rail,Adult,27807
2020-02,Randwick Light Rail,CTP,6149
2020-02,Randwick Light Rail,Child/Youth,1131
2020-02,Randwick Light Rail,Concession,2699
2020-02,Randwick Light Rail,Day Pass without SAF,2
2020-02,Randwick Light Rail,Employee,62
2020-02,Randwick Light Rail,Free Travel,124
2020-02,Randwick Light Rail,School Student,423
2020-02,Randwick Light Rail,Senior/Pensioner,9046
2020-02,Randwick Light Rail,Sgl Trip LR Adult,65
2020-02,Randwick Light Rail,Sgl Trip LR Child/Youth,15
2020-02,Royal Randwick Light Rail,Adult,8623
2020-02,Royal Randwick Light Rail,CTP,2265
2020-02,Royal Randwick Light Rail,Child/Youth,612
2020-02,Royal Randwick Light Rail,Concession,1190
2020-02,Royal Randwick Light Rail,Employee,12
2020-02,Royal Randwick Light Rail,Free Travel,27
2020-02,Royal Randwick Light Rail,School Student,198
2020-02,Royal Randwick Light Rail,Senior/Pensioner,1398
2020-02,Royal Randwick Light Rail,Sgl Trip LR Adult,25
2020-02,Royal Randwick Light Rail,Sgl Trip LR Child/Youth,12
2020-02,Rozelle Bay Light Rail,Adult,6190
2020-02,Rozelle Bay Light Rail,CTP,2153
2020-02,Rozelle Bay Light Rail,Child/Youth,809
2020-02,Rozelle Bay Light Rail,Concession,376
2020-02,Rozelle Bay Light Rail,Employee,5
2020-02,Rozelle Bay Light Rail,Free Travel,6
2020-02,Rozelle Bay Light Rail,School Student,237
2020-02,Rozelle Bay Light Rail,Senior/Pensioner,1285
2020-02,Rozelle Bay Light Rail,Sgl Trip LR Adult,4
2020-02,Surry Hills Light Rail,Adult,16596
2020-02,Surry Hills Light Rail,CTP,6101
2020-02,Surry Hills Light Rail,Child/Youth,677
2020-02,Surry Hills Light Rail,Concession,1223
2020-02,Surry Hills Light Rail,Day Pass without SAF,1
2020-02,Surry Hills Light Rail,Employee,38
2020-02,Surry Hills Light Rail,Free Travel,19
2020-02,Surry Hills Light Rail,School Student,243
2020-02,Surry Hills Light Rail,Senior/Pensioner,4635
2020-02,Surry Hills Light Rail,Sgl Trip LR Adult,69
2020-02,Surry Hills Light Rail,Sgl Trip LR Child/Youth,7
2020-02,Taverners Hill Light Rail,Adult,4091
2020-02,Taverners Hill Light Rail,CTP,1054
2020-02,Taverners Hill Light Rail,Child/Youth,538
2020-02,Taverners Hill Light Rail,Concession,333
2020-02,Taverners Hill Light Rail,Employee,9
2020-02,Taverners Hill Light Rail,Free Travel,20
2020-02,Taverners Hill Light Rail,School Student,472
2020-02,Taverners Hill Light Rail,Senior/Pensioner,663
2020-02,Taverners Hill Light Rail,Sgl Trip LR Adult,3
2020-02,The Star Light Rail,Adult,45458
2020-02,The Star Light Rail,CTP,8634
2020-02,The Star Light Rail,Child/Youth,1061
2020-02,The Star Light Rail,Concession,2246
2020-02,The Star Light Rail,Day Pass without SAF,3
2020-02,The Star Light Rail,Employee,90
2020-02,The Star Light Rail,Free Travel,57
2020-02,The Star Light Rail,School Student,37
2020-02,The Star Light Rail,Senior/Pensioner,18507
2020-02,The Star Light Rail,Sgl Trip LR Adult,137
2020-02,The Star Light Rail,Sgl Trip LR Child/Youth,44
2020-02,Town Hall Light Rail,Adult,62999
2020-02,Town Hall Light Rail,CTP,16461
2020-02,Town Hall Light Rail,Child/Youth,4074
2020-02,Town Hall Light Rail,Concession,4313
2020-02,Town Hall Light Rail,Day Pass without SAF,7
2020-02,Town Hall Light Rail,Employee,133
2020-02,Town Hall Light Rail,Free Travel,128
2020-02,Town Hall Light Rail,School Student,860
2020-02,Town Hall Light Rail,Senior/Pensioner,13810
2020-02,Town Hall Light Rail,Sgl Trip LR Adult,463
2020-02,Town Hall Light Rail,Sgl Trip LR Child/Youth,73
2020-02,UNSW High Street Light Rail,Adult,23747
2020-02,UNSW High Street Light Rail,CTP,5679
2020-02,UNSW High Street Light Rail,Child/Youth,3693
2020-02,UNSW High Street Light Rail,Concession,14176
2020-02,UNSW High Street Light Rail,Day Pass without SAF,1
2020-02,UNSW High Street Light Rail,Employee,12
2020-02,UNSW High Street Light Rail,Free Travel,20
2020-02,UNSW High Street Light Rail,School Student,255
2020-02,UNSW High Street Light Rail,Senior/Pensioner,1319
2020-02,UNSW High Street Light Rail,Sgl Trip LR Adult,45
2020-02,UNSW High Street Light Rail,Sgl Trip LR Child/Youth,6
2020-02,Wansey Road Light Rail,Adult,4797
2020-02,Wansey Road Light Rail,CTP,1768
2020-02,Wansey Road Light Rail,Child/Youth,226
2020-02,Wansey Road Light Rail,Concession,450
2020-02,Wansey Road Light Rail,Employee,24
2020-02,Wansey Road Light Rail,Free Travel,19
2020-02,Wansey Road Light Rail,School Student,122
2020-02,Wansey Road Light Rail,Senior/Pensioner,559
2020-02,Wansey Road Light Rail,Sgl Trip LR Adult,12
2020-02,Wansey Road Light Rail,Sgl Trip LR Child/Youth,1
2020-02,Waratah Mills Light Rail,Adult,3628
2020-02,Waratah Mills Light Rail,CTP,936
2020-02,Waratah Mills Light Rail,Child/Youth,400
2020-02,Waratah Mills Light Rail,Concession,303
2020-02,Waratah Mills Light Rail,Day Pass without SAF,1
2020-02,Waratah Mills Light Rail,Employee,6
2020-02,Waratah Mills Light Rail,Free Travel,3
2020-02,Waratah Mills Light Rail,School Student,483
2020-02,Waratah Mills Light Rail,Senior/Pensioner,1076
2020-02,Wentworth Park Light Rail,Adult,11035
2020-02,Wentworth Park Light Rail,CTP,2931
2020-02,Wentworth Park Light Rail,Child/Youth,670
2020-02,Wentworth Park Light Rail,Concession,674
2020-02,Wentworth Park Light Rail,Employee,13
2020-02,Wentworth Park Light Rail,Free Travel,14
2020-02,Wentworth Park Light Rail,School Student,515
2020-02,Wentworth Park Light Rail,Senior/Pensioner,1305
2020-02,Wentworth Park Light Rail,Sgl Trip LR Adult,6
2020-02,Wentworth Park Light Rail,Sgl Trip LR Child/Youth,1
2020-02,Wynyard Light Rail,Adult,58166
2020-02,Wynyard Light Rail,CTP,16373
2020-02,Wynyard Light Rail,Child/Youth,2443
2020-02,Wynyard Light Rail,Concession,3821
2020-02,Wynyard Light Rail,Day Pass without SAF,4
2020-02,Wynyard Light Rail,Employee,134
2020-02,Wynyard Light Rail,Free Travel,112
2020-02,Wynyard Light Rail,School Student,301
2020-02,Wynyard Light Rail,Senior/Pensioner,11464
2020-02,Wynyard Light Rail,Sgl Trip LR Adult,199
2020-02,Wynyard Light Rail,Sgl Trip LR Child/Youth,16
2020-03,Arlington Light Rail,Adult,5985
2020-03,Arlington Light Rail,CTP,1664
2020-03,Arlington Light Rail,Child/Youth,480
2020-03,Arlington Light Rail,Concession,383
2020-03,Arlington Light Rail,Employee,7
2020-03,Arlington Light Rail,Free Travel,13
2020-03,Arlington Light Rail,School Student,547
2020-03,Arlington Light Rail,Senior/Pensioner,716
2020-03,Bridge Street Light Rail,Adult,26819
2020-03,Bridge Street Light Rail,CTP,8585
2020-03,Bridge Street Light Rail,Child/Youth,572
2020-03,Bridge Street Light Rail,Concession,1303
2020-03,Bridge Street Light Rail,Employee,31
2020-03,Bridge Street Light Rail,Free Travel,58
2020-03,Bridge Street Light Rail,School Student,270
2020-03,Bridge Street Light Rail,Senior/Pensioner,3357
2020-03,Bridge Street Light Rail,Sgl Trip LR Adult,97
2020-03,Bridge Street Light Rail,Sgl Trip LR Child/Youth,10
2020-03,Capitol Square Light Rail,Adult,21526
2020-03,Capitol Square Light Rail,CTP,4773
2020-03,Capitol Square Light Rail,Child/Youth,859
2020-03,Capitol Square Light Rail,Concession,879
2020-03,Capitol Square Light Rail,Employee,79
2020-03,Capitol Square Light Rail,Free Travel,31
2020-03,Capitol Square Light Rail,School Student,128
2020-03,Capitol Square Light Rail,Senior/Pensioner,7022
2020-03,Capitol Square Light Rail,Sgl Trip LR Adult,74
2020-03,Capitol Square Light Rail,Sgl Trip LR Child/Youth,6
2020-03,Central Chalmers Street Light Rail,Adult,50151
2020-03,Central Chalmers Street Light Rail,CTP,10894
2020-03,Central Chalmers Street Light Rail,Child/Youth,2548
2020-03,Central Chalmers Street Light Rail,Concession,12099
2020-03,Central Chalmers Street Light Rail,Employee,174
2020-03,Central Chalmers Street Light Rail,Free Travel,99
2020-03,Central Chalmers Street Light Rail,School Student,12780
2020-03,Central Chalmers Street Light Rail,Senior/Pensioner,8859
2020-03,Central Chalmers Street Light Rail,Sgl Trip LR Adult,123
2020-03,Central Chalmers Street Light Rail,Sgl Trip LR Child/Youth,28
2020-03,Central Grand Concourse Light Rail,Adult,78198
2020-03,Central Grand Concourse Light Rail,CTP,12527
2020-03,Central Grand Concourse Light Rail,Child/Youth,2899
2020-03,Central Grand Concourse Light Rail,Concession,4970
2020-03,Central Grand Concourse Light Rail,Day Pass Child/Youth w/o SAF,1
2020-03,Central Grand Concourse Light Rail,Day Pass without SAF,4
2020-03,Central Grand Concourse Light Rail,Employee,336
2020-03,Central Grand Concourse Light Rail,Free Travel,139
2020-03,Central Grand Concourse Light Rail,School Student,827
2020-03,Central Grand Concourse Light Rail,Senior/Pensioner,22198
2020-03,Central Grand Concourse Light Rail,Sgl Trip LR Adult,187
2020-03,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,28
2020-03,Chinatown Light Rail,Adult,57462
2020-03,Chinatown Light Rail,CTP,15821
2020-03,Chinatown Light Rail,Child/Youth,1803
2020-03,Chinatown Light Rail,Concession,2820
2020-03,Chinatown Light Rail,Employee,196
2020-03,Chinatown Light Rail,Free Travel,105
2020-03,Chinatown Light Rail,School Student,383
2020-03,Chinatown Light Rail,Senior/Pensioner,9624
2020-03,Chinatown Light Rail,Sgl Trip LR Adult,619
2020-03,Chinatown Light Rail,Sgl Trip LR Child/Youth,50
2020-03,Circular Quay Light Rail,Adult,61440
2020-03,Circular Quay Light Rail,CTP,19335
2020-03,Circular Quay Light Rail,Child/Youth,2923
2020-03,Circular Quay Light Rail,Concession,2208
2020-03,Circular Quay Light Rail,Day Pass without SAF,2
2020-03,Circular Quay Light Rail,Employee,109
2020-03,Circular Quay Light Rail,Free Travel,139
2020-03,Circular Quay Light Rail,School Student,177
2020-03,Circular Quay Light Rail,Senior/Pensioner,14175
2020-03,Circular Quay Light Rail,Sgl Trip LR Adult,1904
2020-03,Circular Quay Light Rail,Sgl Trip LR Child/Youth,148
2020-03,Civic Light Rail,Adult,6525
2020-03,Civic Light Rail,CTP,2174
2020-03,Civic Light Rail,Child/Youth,374
2020-03,Civic Light Rail,Concession,2272
2020-03,Civic Light Rail,Day Pass without SAF,2
2020-03,Civic Light Rail,Employee,24
2020-03,Civic Light Rail,Free Travel,63
2020-03,Civic Light Rail,School Student,95
2020-03,Civic Light Rail,Senior/Pensioner,1723
2020-03,Civic Light Rail,Sgl Trip LR Adult,30
2020-03,Civic Light Rail,Sgl Trip LR Child/Youth,9
2020-03,Convention Light Rail,Adult,17482
2020-03,Convention Light Rail,CTP,3728
2020-03,Convention Light Rail,Child/Youth,937
2020-03,Convention Light Rail,Concession,889
2020-03,Convention Light Rail,Employee,51
2020-03,Convention Light Rail,Free Travel,20
2020-03,Convention Light Rail,School Student,142
2020-03,Convention Light Rail,Senior/Pensioner,2848
2020-03,Convention Light Rail,Sgl Trip LR Adult,92
2020-03,Convention Light Rail,Sgl Trip LR Child/Youth,30
2020-03,Crown Street Light Rail,Adult,2100
2020-03,Crown Street Light Rail,CTP,853
2020-03,Crown Street Light Rail,Child/Youth,103
2020-03,Crown Street Light Rail,Concession,252
2020-03,Crown Street Light Rail,Day Pass without SAF,1
2020-03,Crown Street Light Rail,Employee,28
2020-03,Crown Street Light Rail,Free Travel,17
2020-03,Crown Street Light Rail,School Student,25
2020-03,Crown Street Light Rail,Senior/Pensioner,988
2020-03,Crown Street Light Rail,Sgl Trip LR Adult,7
2020-03,Crown Street Light Rail,Sgl Trip LR Child/Youth,7
2020-03,Dulwich Grove Light Rail,Adult,4623
2020-03,Dulwich Grove Light Rail,CTP,1141
2020-03,Dulwich Grove Light Rail,Child/Youth,271
2020-03,Dulwich Grove Light Rail,Concession,360
2020-03,Dulwich Grove Light Rail,Employee,28
2020-03,Dulwich Grove Light Rail,Free Travel,17
2020-03,Dulwich Grove Light Rail,School Student,429
2020-03,Dulwich Grove Light Rail,Senior/Pensioner,686
2020-03,Dulwich Hill Light Rail,Adult,11850
2020-03,Dulwich Hill Light Rail,CTP,2376
