Year_Month,Location,Card_type,Trip
2016-07,The Star Light Rail,Employee,1
2016-07,The Star Light Rail,Free Travel,80
2016-07,The Star Light Rail,School Student,9
2016-07,The Star Light Rail,Senior/Pensioner,24737
2016-07,The Star Light Rail,Sgl Trip LR Adult,169
2016-07,The Star Light Rail,Sgl Trip LR Child/Youth,32
2016-07,UNKNOWN,LR-MST,24913
2016-07,Waratah Mills Light Rail,Adult,4950
2016-07,Waratah Mills Light Rail,Child/Youth,985
2016-07,Waratah Mills Light Rail,Concession,347
2016-07,Waratah Mills Light Rail,Free Travel,4
2016-07,Waratah Mills Light Rail,School Student,63
2016-07,Waratah Mills Light Rail,Senior/Pensioner,885
2016-07,Wentworth Park Light Rail,Adult,10394
2016-07,Wentworth Park Light Rail,Child/Youth,802
2016-07,Wentworth Park Light Rail,Concession,654
2016-07,Wentworth Park Light Rail,Free Travel,6
2016-07,Wentworth Park Light Rail,School Student,44
2016-07,Wentworth Park Light Rail,Senior/Pensioner,1017
2016-07,Wentworth Park Light Rail,Sgl Trip LR Adult,1
2016-07,Wentworth Park Light Rail,Sgl Trip LR Child/Youth,1
2016-08,Arlington Light Rail,Adult,8151
2016-08,Arlington Light Rail,Child/Youth,1244
2016-08,Arlington Light Rail,Concession,636
2016-08,Arlington Light Rail,Free Travel,12
2016-08,Arlington Light Rail,School Student,330
2016-08,Arlington Light Rail,Senior/Pensioner,888
2016-08,Arlington Light Rail,Sgl Trip LR Adult,28
2016-08,Arlington Light Rail,Sgl Trip LR Child/Youth,23
2016-08,Capitol Square Light Rail,Adult,70265
2016-08,Capitol Square Light Rail,Child/Youth,2113
2016-08,Capitol Square Light Rail,Concession,2316
2016-08,Capitol Square Light Rail,Free Travel,33
2016-08,Capitol Square Light Rail,School Student,32
2016-08,Capitol Square Light Rail,Senior/Pensioner,12678
2016-08,Capitol Square Light Rail,Sgl Trip LR Adult,129
2016-08,Capitol Square Light Rail,Sgl Trip LR Child/Youth,30
2016-08,Central Grand Concourse Light Rail,Adult,144980
2016-08,Central Grand Concourse Light Rail,Child/Youth,6835
2016-08,Central Grand Concourse Light Rail,Concession,7907
