Year_Month,Route,Card_type,Trip
2016-09,F4 Darling Harbour,Senior/Pensioner,19631
2016-09,F4 Darling Harbour,Sgl Trip Ferry Adult,7381
2016-09,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,2261
2016-09,F5 Neutral Bay,Adult,32375
2016-09,F5 Neutral Bay,Child/Youth,1901
2016-09,F5 Neutral Bay,Concession,1005
2016-09,F5 Neutral Bay,Employee,241
2016-09,F5 Neutral Bay,Free Travel,61
2016-09,F5 Neutral Bay,School Student,17
2016-09,F5 Neutral Bay,Senior/Pensioner,8708
2016-09,F5 Neutral Bay,Sgl Trip Ferry Adult,889
2016-09,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,196
2016-09,F6 Mosman Bay,Adult,51313
2016-09,F6 Mosman Bay,Child/Youth,3005
2016-09,F6 Mosman Bay,Concession,1894
2016-09,F6 Mosman Bay,Employee,395
2016-09,F6 Mosman Bay,Free Travel,102
2016-09,F6 Mosman Bay,School Student,50
2016-09,F6 Mosman Bay,Senior/Pensioner,12606
2016-09,F6 Mosman Bay,Sgl Trip Ferry Adult,1049
2016-09,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,277
2016-09,F7 Eastern Suburbs,Adult,88402
2016-09,F7 Eastern Suburbs,Child/Youth,6237
2016-09,F7 Eastern Suburbs,Concession,1991
2016-09,F7 Eastern Suburbs,Employee,355
2016-09,F7 Eastern Suburbs,Free Travel,143
2016-09,F7 Eastern Suburbs,School Student,99
2016-09,F7 Eastern Suburbs,Senior/Pensioner,14714
2016-09,F7 Eastern Suburbs,Sgl Trip Ferry Adult,3208
2016-09,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,601
2016-10,118 Newcastle,Adult,21228
2016-10,118 Newcastle,Child/Youth,4254
2016-10,118 Newcastle,Concession,908
2016-10,118 Newcastle,Employee,441
2016-10,118 Newcastle,Free Travel,250
2016-10,118 Newcastle,School Student,538
2016-10,118 Newcastle,Senior/Pensioner,8530
2016-10,F1 Manly,Adult,302524
2016-10,F1 Manly,Child/Youth,40777
2016-10,F1 Manly,Concession,10522
2016-10,F1 Manly,Employee,1993
2016-10,F1 Manly,Free Travel,737
2016-10,F1 Manly,School Student,263
2016-10,F1 Manly,Senior/Pensioner,64585
2016-10,F1 Manly,Sgl Trip Ferry Adult,26574
2016-10,F1 Manly,Sgl Trip Ferry Child/Youth,3790
2016-10,F2 Taronga Zoo,Adult,78394
2016-10,F2 Taronga Zoo,Child/Youth,16197
2016-10,F2 Taronga Zoo,Concession,2042
2016-10,F2 Taronga Zoo,Employee,334
2016-10,F2 Taronga Zoo,Free Travel,123
2016-10,F2 Taronga Zoo,School Student,11
2016-10,F2 Taronga Zoo,Senior/Pensioner,11428
2016-10,F2 Taronga Zoo,Sgl Trip Ferry Adult,3965
2016-10,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,857
2016-10,F3 Parramatta River,Adult,184834
2016-10,F3 Parramatta River,Child/Youth,23796
2016-10,F3 Parramatta River,Concession,3848
2016-10,F3 Parramatta River,Employee,977
2016-10,F3 Parramatta River,Free Travel,368
2016-10,F3 Parramatta River,School Student,461
2016-10,F3 Parramatta River,Senior/Pensioner,39540
2016-10,F3 Parramatta River,Sgl Trip Ferry Adult,8147
2016-10,F3 Parramatta River,Sgl Trip Ferry Child/Youth,1929
2016-10,F4 Darling Harbour,Adult,107964
2016-10,F4 Darling Harbour,Child/Youth,22057
2016-10,F4 Darling Harbour,Concession,2181
2016-10,F4 Darling Harbour,Employee,704
2016-10,F4 Darling Harbour,Free Travel,260
2016-10,F4 Darling Harbour,School Student,168
2016-10,F4 Darling Harbour,Senior/Pensioner,24054
2016-10,F4 Darling Harbour,Sgl Trip Ferry Adult,8325
2016-10,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,1891
2016-10,F5 Neutral Bay,Adult,33547
2016-10,F5 Neutral Bay,Child/Youth,1818
2016-10,F5 Neutral Bay,Concession,960
2016-10,F5 Neutral Bay,Employee,191
2016-10,F5 Neutral Bay,Free Travel,63
2016-10,F5 Neutral Bay,School Student,28
2016-10,F5 Neutral Bay,Senior/Pensioner,9435
2016-10,F5 Neutral Bay,Sgl Trip Ferry Adult,989
2016-10,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,191
2016-10,F6 Mosman Bay,Adult,51780
2016-10,F6 Mosman Bay,Child/Youth,3142
2016-10,F6 Mosman Bay,Concession,1770
2016-10,F6 Mosman Bay,Employee,360
2016-10,F6 Mosman Bay,Free Travel,111
2016-10,F6 Mosman Bay,School Student,52
2016-10,F6 Mosman Bay,Senior/Pensioner,13387
2016-10,F6 Mosman Bay,Sgl Trip Ferry Adult,1107
2016-10,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,217
2016-10,F7 Eastern Suburbs,Adult,98879
2016-10,F7 Eastern Suburbs,Child/Youth,7358
2016-10,F7 Eastern Suburbs,Concession,1863
2016-10,F7 Eastern Suburbs,Employee,435
2016-10,F7 Eastern Suburbs,Free Travel,169
2016-10,F7 Eastern Suburbs,School Student,73
2016-10,F7 Eastern Suburbs,Senior/Pensioner,16306
2016-10,F7 Eastern Suburbs,Sgl Trip Ferry Adult,3585
2016-10,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,567
2016-11,118 Newcastle,Adult,23178
2016-11,118 Newcastle,Child/Youth,3069
2016-11,118 Newcastle,Concession,1127
2016-11,118 Newcastle,Employee,582
2016-11,118 Newcastle,Free Travel,287
2016-11,118 Newcastle,School Student,706
2016-11,118 Newcastle,Senior/Pensioner,10029
2016-11,F1 Manly,Adult,313364
2016-11,F1 Manly,Child/Youth,23931
2016-11,F1 Manly,Concession,10598
2016-11,F1 Manly,Employee,1976
2016-11,F1 Manly,Free Travel,756
2016-11,F1 Manly,School Student,367
2016-11,F1 Manly,Senior/Pensioner,65368
2016-11,F1 Manly,Sgl Trip Ferry Adult,30591
2016-11,F1 Manly,Sgl Trip Ferry Child/Youth,2419
2016-11,F2 Taronga Zoo,Adult,73207
2016-11,F2 Taronga Zoo,Child/Youth,10678
2016-11,F2 Taronga Zoo,Concession,2071
